"text","player"
"Bid them farewell, Cordelia, though unkind.","FRANCE"
"Thou losest here a better where to find.","FRANCE"
"Thou hast her, France. Let her be thine, for we","LEAR"
"Have no such daughter, nor shall ever see","LEAR"
"That face of hers again.  Therefore","LEAR"
"begone","LEAR"
"Without our grace, our love, our benison.--","LEAR"
"Come, noble Burgundy.","LEAR"
"  Bid farewell to your sisters.","FRANCE"
"The jewels of our father, with washed eyes","CORDELIA"
"Cordelia leaves you. I know you what you are,","CORDELIA"
"And like a sister am most loath to call","CORDELIA"
"Your faults as they are named. Love well our","CORDELIA"
"father.","CORDELIA"
"To your professed bosoms I commit him;","CORDELIA"
"But yet, alas, stood I within his grace,","CORDELIA"
"I would prefer him to a better place.","CORDELIA"
"So farewell to you both.","CORDELIA"
"Prescribe not us our duty.","REGAN"
"  Let your study","GONERIL"
"Be to content your lord, who hath received you","GONERIL"
"At Fortune's alms. You have obedience scanted","GONERIL"
"And well are worth the want that you have wanted.","GONERIL"
"Time shall unfold what plighted cunning hides,","CORDELIA"
"Who covers faults at last with shame derides.","CORDELIA"
"Well may you prosper.","CORDELIA"
"  Come, my fair Cordelia.","FRANCE"
"  Sister, it is not little I have to say of what","GONERIL"
"most nearly appertains to us both. I think our","GONERIL"
"father will hence tonight.","GONERIL"
"  That's most certain, and with you; next month","REGAN"
"with us.","REGAN"
"  You see how full of changes his age is; the","GONERIL"
"observation we have made of it hath not been","GONERIL"
"little. He always loved our sister most, and with","GONERIL"
"what poor judgment he hath now cast her off","GONERIL"
"appears too grossly.","GONERIL"
"  'Tis the infirmity of his age. Yet he hath ever","REGAN"
"but slenderly known himself.","REGAN"
"  The best and soundest of his time hath been","GONERIL"
"but rash. Then must we look from his age to","GONERIL"
"receive not alone the imperfections of long-engraffed","GONERIL"
"condition, but therewithal the unruly waywardness","GONERIL"
"that infirm and choleric years bring with","GONERIL"
"them.","GONERIL"
"  Such unconstant starts are we like to have","REGAN"
"from him as this of Kent's banishment.","REGAN"
"  There is further compliment of leave-taking","GONERIL"
"between France and him. Pray you, let us sit","GONERIL"
"together. If our father carry authority with such","GONERIL"
"disposition as he bears, this last surrender of his will","GONERIL"
"but offend us.","GONERIL"
"  We shall further think of it.","REGAN"
"  We must do something, and i' th' heat.","GONERIL"
"Thou, Nature, art my goddess. To thy law","EDMUND"
"My services are bound. Wherefore should I","EDMUND"
"Stand in the plague of custom, and permit","EDMUND"
"The curiosity of nations to deprive me","EDMUND"
"For that I am some twelve or fourteen moonshines","EDMUND"
"Lag of a brother? why ""bastard""? Wherefore ""base,""","EDMUND"
"When my dimensions are as well compact,","EDMUND"
"My mind as generous and my shape as true","EDMUND"
"As honest madam's issue? Why brand they us","EDMUND"
"With ""base,"" with ""baseness,"" ""bastardy,"" ""base,""","EDMUND"
"base,","EDMUND"
"Who, in the lusty stealth of nature, take","EDMUND"
"More composition and fierce quality","EDMUND"
"Than doth within a dull, stale, tired bed","EDMUND"
"Go to th' creating a whole tribe of fops","EDMUND"
"Got 'tween asleep and wake? Well then,","EDMUND"
